,HFI_RF,Mkt_RF,SMB,HML
200605,-0.022699999999999998,-0.0357,-0.0296,0.0242
200606,-0.0079,-0.0034999999999999996,-0.0039000000000000003,0.0085
200607,-0.0038,-0.0078000000000000005,-0.0398,0.0262
200608,0.005399999999999999,0.0203,0.0103,-0.0206
200609,-0.002999999999999999,0.0184,-0.013600000000000001,0.0008
200610,0.013900000000000003,0.0323,0.0175,-0.003
200611,0.013400000000000002,0.0171,0.006999999999999999,0.0014000000000000002
200612,0.0121,0.0087,-0.0115,0.0273
200701,0.006900000000000001,0.013999999999999999,0.0013000000000000002,-0.0069
200702,0.004100000000000001,-0.0196,0.0118,-0.0013000000000000002
200703,0.0048000000000000004,0.0068000000000000005,0.0016,-0.0096
200704,0.0115,0.0349,-0.0215,-0.0146
200705,0.0159,0.032400000000000005,0.0024,-0.006500000000000001
200706,0.0031999999999999997,-0.0196,0.0076,-0.010700000000000001
200707,-0.0002999999999999999,-0.0373,-0.026000000000000002,-0.037200000000000004
200708,-0.018699999999999998,0.0092,-0.0013000000000000002,-0.018600000000000002
200709,0.0219,0.0322,-0.0222,-0.0223
200710,0.0255,0.018000000000000002,0.0013000000000000002,-0.0305
200711,-0.0241,-0.0483,-0.0292,-0.0095
200712,0.0024999999999999996,-0.0087,0.0012,-0.0054
200801,-0.0347,-0.0636,-0.010400000000000001,0.0398
200802,0.011,-0.0309,-0.0043,-0.0084
200803,-0.0255,-0.009300000000000001,0.0070999999999999995,0.003
200804,0.017499999999999998,0.046,-0.0165,-0.010400000000000001
200805,0.0164,0.018600000000000002,0.03,-0.0149
200806,-0.019,-0.0844,0.012,-0.0267
200807,-0.022500000000000003,-0.0077,0.026099999999999998,0.0542
200808,-0.0134,0.015300000000000001,0.036000000000000004,0.0159
200809,-0.0714,-0.09240000000000001,-0.0123,0.0592
200810,-0.0849,-0.1723,-0.026000000000000002,-0.023
200811,-0.0283,-0.0786,-0.0285,-0.0631
200812,0.0037,0.0174,0.0346,0.0015
